ISV_INDEX_1	IncreaseSmoothedValue
('ChargeEVs', 'Oahu', 3007121506)	0.0
('ChargeEVs', 'Oahu', 3007121508)	66.98304559415475
('ChargeEVs', 'Oahu', 3007121510)	0.0
('ChargeEVs', 'Oahu', 3007121512)	0.0
('ChargeEVs', 'Oahu', 3007121514)	0.0
('ChargeEVs', 'Oahu', 3007121516)	27.66678166998945
('ChargeEVs', 'Oahu', 3007121518)	10.878745429125466
('ChargeEVs', 'Oahu', 3007121520)	0.0
('ChargeEVs', 'Oahu', 3007121522)	27.565154650573874
('ChargeEVs', 'Oahu', 3007121800)	134.27071574611222
('ChargeEVs', 'Oahu', 3007121802)	29.591355939946936
('ChargeEVs', 'Oahu', 3007121804)	0.0
('ChargeEVs', 'Oahu', 3007121806)	0.0
('ChargeEVs', 'Oahu', 3007121808)	63.561893030641606
('ChargeEVs', 'Oahu', 3007121810)	0.0
('ChargeEVs', 'Oahu', 3007121812)	0.0
('ChargeEVs', 'Oahu', 3007121814)	0.0
('ChargeEVs', 'Oahu', 3007121816)	29.91779268680389
('ChargeEVs', 'Oahu', 3007121818)	7.703162096768255
('ChargeEVs', 'Oahu', 3007121820)	0.0
('ChargeEVs', 'Oahu', 3007121822)	56.88965313174047
('ChargeEVs', 'Oahu', 3007121900)	99.26062804709953
('ChargeEVs', 'Oahu', 3007121902)	0.7907975193301127
('ChargeEVs', 'Oahu', 3007121904)	1.745781405519594
('ChargeEVs', 'Oahu', 3007121906)	0.0
('ChargeEVs', 'Oahu', 3007121908)	78.85152652637227
('ChargeEVs', 'Oahu', 3007121910)	0.0
('ChargeEVs', 'Oahu', 3007121912)	0.0
('ChargeEVs', 'Oahu', 3007121914)	0.0
('ChargeEVs', 'Oahu', 3007121916)	29.311862463571938
('ChargeEVs', 'Oahu', 3007121918)	7.027743045479077
('ChargeEVs', 'Oahu', 3007121920)	0.0
('ChargeEVs', 'Oahu', 3007121922)	69.25055286005013
('ChargeEVs', 'Oahu', 3008010900)	99.16694783027593
('ChargeEVs', 'Oahu', 3008010902)	37.185884334837
('ChargeEVs', 'Oahu', 3008010904)	24.346699330488576
('ChargeEVs', 'Oahu', 3008010906)	0.0
('ChargeEVs', 'Oahu', 3008010908)	49.33385542797374
('ChargeEVs', 'Oahu', 3008010910)	0.0
('ChargeEVs', 'Oahu', 3008010912)	0.0
('ChargeEVs', 'Oahu', 3008010914)	0.0
('ChargeEVs', 'Oahu', 3008010916)	29.371080125159164
('ChargeEVs', 'Oahu', 3008010918)	0.0
('ChargeEVs', 'Oahu', 3008010920)	0.0
