load_zone	timestamp	ZoneTotalCentralDispatch	ZoneTotalDistributedDispatch	DispatchFuelCellMW	GeneratePumpedHydro	zone_demand_mw	StorageNetCharge	ChargeEVs	RunElectrolyzerMW	LiquifyHydrogenMW	ShiftDemand	StorePumpedHydro
Oahu	2025-01-09-18:00	959.471	0	0	0	1055.13	0	9.85555	0	0	-105.513	0
Oahu	2025-01-09-20:00	842.715	0	0	0	926.13	0	9.19782	0	0	-92.613	0
Oahu	2025-01-09-22:00	737.095	0	0	0	727.133	0	24.3809	0	0	-14.4187	0
Oahu	2025-04-21-00:00	766.925	0	0	0	557.68	0	265.013	0	0	-55.768	0
Oahu	2025-04-21-02:00	779.286	0	0	0	511.452	0	318.979	0	0	-51.1452	0
Oahu	2025-04-21-04:00	779.868	0	0	0	584.01	0	110.737	0	0	85.1214	0
Oahu	2025-04-21-06:00	782.536	0	0	0	815.595	0	48.5002	0	0	-81.5595	0
Oahu	2025-04-21-08:00	924.321	0	0	0	932.551	0	67.0992	0	0	-75.3293	0
Oahu	2025-04-21-10:00	1112.23	0	0	0	989.77	0	49.6633	0	0	72.8011	0
Oahu	2025-04-21-12:00	1194.75	0	0	0	1002.8	0	16.9167	0	0	175.031	0
Oahu	2025-04-21-14:00	1183.29	0	0	0	1005.64	0	14.089	0	0	163.554	0
Oahu	2025-04-21-16:00	988.744	0	0	0	986.686	0	18.4182	0	0	-16.3601	0
Oahu	2025-04-21-18:00	921.35	0	0	0	996.21	0	24.7609	0	0	-99.621	0
Oahu	2025-04-21-20:00	878.391	0	0	0	936.858	0	35.2191	0	0	-93.6858	0
Oahu	2025-04-21-22:00	759.562	0	0	0	718.912	0	63.6868	0	0	-23.0378	0
Oahu	2025-05-01-00:00	675.002	0	0	0	571.886	0	114.649	0	0	-11.5335	0
Oahu	2025-05-01-02:00	737.257	0	0	0	528.722	0	261.407	0	0	-52.8722	0
Oahu	2025-05-01-04:00	820.383	0	0	0	595.698	0	275.025	0	0	-50.34	0
Oahu	2025-05-01-06:00	858.942	0	0	0	835.696	0	106.816	0	0	-83.5696	0
Oahu	2025-05-01-08:00	964.299	0	0	0	942.005	0	93.7025	0	0	-71.4079	0
Oahu	2025-05-01-10:00	1142.81	0	0	0	993.005	0	54.3423	0	0	95.4583	0
Oahu	2025-05-01-12:00	1195.77	0	0	0	1004.3	0	20.3028	0	0	171.168	0
Oahu	2025-05-01-14:00	1190.25	0	0	0	1009.51	0	11.8105	0	0	168.928	0
Oahu	2025-05-01-16:00	1053.37	0	0	0	990.69	0	11.0345	0	0	51.6474	0
Oahu	2025-05-01-18:00	900.245	0	0	0	989.921	0	9.31591	0	0	-98.9921	0
Oahu	2025-05-01-20:00	880.582	0	0	0	937.505	0	11.291	0	0	-68.2141	0
Oahu	2025-05-01-22:00	750.649	0	0	0	737.537	0	63.3845	0	0	-50.2727	0
Oahu	2025-05-17-00:00	762.201	0	0	0	567.785	0	251.194	0	0	-56.7785	0
Oahu	2025-05-17-02:00	752.846	0	0	0	518.859	0	285.873	0	0	-51.8859	0
Oahu	2025-05-17-04:00	742.025	0	0	0	568.242	0	127.658	0	0	46.1244	0
Oahu	2025-05-17-06:00	811.645	0	0	0	811.838	0	80.9911	0	0	-81.1838	0
Oahu	2025-05-17-08:00	1083.76	0	0	0	936.047	0	94.3709	0	0	53.3387	0
Oahu	2025-05-17-10:00	1193.12	0	0	0	993.249	0	53.9309	0	0	145.939	0
Oahu	2025-05-17-12:00	1200.74	0	0	0	1008.05	0	15.8388	0	0	176.85	0
