generation_project	timepoint	load_zone	ChargeMW	DischargeMW	StateOfCharge
Oahu_Battery_Bulk	2035-09-10-16:00	Oahu	58.9937	0	500.192
Oahu_Battery_Reg	2040-10-03-04:00	Oahu	0	0	0
Oahu_Battery_Bulk	2025-11-08-04:00	Oahu	0	0	0
Oahu_Battery_Conting	2030-04-21-00:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-12-15-18:00	Oahu	0	201.488	97.2153
Oahu_Battery_Conting	2025-12-19-14:00	Oahu	0	0	0
Oahu_Battery_Reg	2020-01-09-14:00	Oahu	0	0	0
Oahu_Battery_Conting	2045-12-05-02:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-08-25-00:00	Oahu	0.718247	0	101.496
Oahu_Battery_Bulk	2030-01-09-10:00	Oahu	0	0	0
Oahu_Battery_Conting	2035-10-03-12:00	Oahu	0	0	0
Oahu_Battery_Conting	2040-08-25-12:00	Oahu	0	0	0
Oahu_Battery_Conting	2020-11-08-22:00	Oahu	0	0	0
