FUEL_BASED_GEN_TPS_1	FUEL_BASED_GEN_TPS_2	StartupGenCapacityRenewable
Oahu_AES	3508010922	0.0
Oahu_AES	3508042100	0.0
Oahu_AES	3508042102	0.0
Oahu_AES	3508042104	0.0
Oahu_AES	3508042106	0.0
Oahu_AES	3508042108	0.0
Oahu_AES	3508042110	0.0
Oahu_AES	3508042112	0.0
Oahu_AES	3508042114	0.0
Oahu_AES	3508042116	0.0
Oahu_AES	3508042118	0.0
Oahu_AES	3508042120	0.0
Oahu_AES	3508042122	0.0
Oahu_AES	3508050100	0.0
Oahu_AES	3508050102	0.0
Oahu_AES	3508050104	0.0
Oahu_AES	3508050106	0.0
Oahu_AES	3508050108	0.0
Oahu_AES	3508050110	0.0
Oahu_AES	3508050112	0.0
Oahu_AES	3508050114	0.0
Oahu_AES	3508050116	0.0
Oahu_AES	3508050118	0.0
Oahu_AES	3508050120	0.0
Oahu_AES	3508050122	0.0
Oahu_AES	3508072700	0.0
Oahu_AES	3508072702	0.0
Oahu_AES	3508072704	0.0
Oahu_AES	3508072706	0.0
Oahu_AES	3508072708	0.0
Oahu_AES	3508072710	0.0
Oahu_AES	3508072712	0.0
Oahu_AES	3508072714	0.0
Oahu_AES	3508072716	0.0
Oahu_AES	3508072718	0.0
Oahu_AES	3508072720	0.0
Oahu_AES	3508072722	0.0
Oahu_AES	3508091000	0.0
Oahu_AES	3508091002	0.0
Oahu_AES	3508091004	0.0
Oahu_AES	3508091006	0.0
Oahu_AES	3508091008	0.0
Oahu_AES	3508091010	0.0
Oahu_AES	3508091012	0.0
Oahu_AES	3508091014	0.0
Oahu_AES	3508091016	0.0
Oahu_AES	3508091018	0.0
Oahu_AES	3508091020	0.0
Oahu_AES	3508091022	0.0
Oahu_AES	3508100300	0.0
Oahu_AES	3508100302	0.0
Oahu_AES	3508100304	0.0
Oahu_AES	3508100306	0.0
Oahu_AES	3508100308	0.0
Oahu_AES	3508100310	0.0
Oahu_AES	3508100312	0.0
Oahu_AES	3508100314	0.0
Oahu_AES	3508100316	0.0
Oahu_AES	3508100318	0.0
Oahu_AES	3508100320	0.0
Oahu_AES	3508100322	0.0
Oahu_AES	3508110800	0.0
Oahu_AES	3508110802	0.0
Oahu_AES	3508110804	0.0
Oahu_AES	3508110806	0.0
Oahu_AES	3508110808	0.0
Oahu_AES	3508110810	0.0
Oahu_AES	3508110812	0.0
Oahu_AES	3508110814	0.0
Oahu_AES	3508110816	0.0
Oahu_AES	3508110818	0.0
Oahu_AES	3508110820	0.0
Oahu_AES	3508110822	0.0
Oahu_AES	3508120500	0.0
Oahu_AES	3508120502	0.0
Oahu_AES	3508120504	0.0
Oahu_AES	3508120506	0.0
Oahu_AES	3508120508	0.0
Oahu_AES	3508120510	0.0
Oahu_AES	3508120512	0.0
Oahu_AES	3508120514	0.0
Oahu_AES	3508120516	0.0
Oahu_AES	3508120518	0.0
Oahu_AES	3508120520	0.0
Oahu_AES	3508120522	0.0
Oahu_AES	3508120800	0.0
Oahu_AES	3508120802	0.0
Oahu_AES	3508120804	0.0
Oahu_AES	3508120806	0.0
Oahu_AES	3508120808	0.0
Oahu_AES	3508120810	0.0
Oahu_AES	3508120812	0.0
Oahu_AES	3508120814	0.0
Oahu_AES	3508120816	0.0
Oahu_AES	3508120818	0.0
Oahu_AES	3508120820	0.0
Oahu_AES	3508120822	0.0
Oahu_AES	4007051700	0.0
Oahu_AES	4007051702	0.0
Oahu_AES	4007051704	0.0
Oahu_AES	4007051706	0.0
Oahu_AES	4007051708	0.0
Oahu_AES	4007051710	0.0
Oahu_AES	4007051712	0.0
Oahu_AES	4007051714	0.0
Oahu_AES	4007051716	0.0
Oahu_AES	4007051718	0.0
Oahu_AES	4007051720	0.0
Oahu_AES	4007051722	0.0
Oahu_AES	4007070900	0.0
